sd_mult,sl_mult,tp1_mult,tp2_mult,tp3_mult,rsi_bull,rsi_bear,piv_left,piv_right,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,1.5,0.5,2.5,4.0,40.0,50.0,3,2,34,1.7797607475089285,0.5588235294117647,0.21662563039215732,19,1.402741895921586,0.5789473684210527,0.24849952858051344,2738.729490793103,-3022.287477026589,16.105263157894736
0.5,1.5,1.0,2.5,4.0,40.0,50.0,3,2,33,1.6517094387412747,0.6060606060606061,0.2096027899617764,19,1.3965914814414444,0.5789473684210527,0.2647740625126605,3119.615463850813,-3022.287477026589,16.105263157894736
0.5,1.5,1.5,2.0,4.0,30.0,50.0,3,2,36,1.8493007275460862,0.6111111111111112,0.2796438942813693,19,1.3797342407801936,0.5789473684210527,0.25370320912349803,3203.4662519392336,-3022.287477026589,16.31578947368421
0.5,1.5,1.0,2.0,3.5,30.0,50.0,3,2,36,1.8292528126401817,0.6388888888888888,0.24083298889715676,20,1.3599388567259936,0.6,0.24255029935421354,2831.303434461135,-3022.287477026589,15.1
0.5,1.5,1.0,2.0,3.0,30.0,50.0,3,2,37,1.7612561645326177,0.6216216216216216,0.2165899423524169,20,1.3505975509877284,0.6,0.23986378182801027,2757.824090609034,-3022.287477026589,14.7
0.5,1.5,0.5,2.0,3.5,30.0,50.0,3,2,37,1.9523118001160913,0.5945945945945946,0.2356315395916851,20,1.343669038575679,0.6,0.2204228254520087,2337.021652207199,-3022.287477026589,15.1
0.5,1.5,1.5,2.0,4.0,40.0,50.0,3,2,34,2.0370333875632065,0.6176470588235294,0.3128306736251087,19,1.3436004715948893,0.5789473684210527,0.2535505546424968,2898.639092021655,-3297.064389509288,16.105263157894736
0.5,1.5,1.5,1.5,3.5,30.0,50.0,3,2,36,1.637069004620724,0.6111111111111112,0.2063500872667363,21,1.3350710406485296,0.6190476190476191,0.2583846863564672,3224.4088392050617,-4437.524128218563,14.666666666666666
1.0,2.0,0.5,1.5,3.0,30.0,70.0,3,2,51,1.6992124147529934,0.6274509803921569,0.13456174555836503,25,1.3347301452997584,0.64,0.1276297132941556,3030.584444550244,-4014.7833027021666,22.6
0.5,1.5,0.5,2.0,3.0,30.0,50.0,3,2,38,1.8607832735638505,0.5789473684210527,0.2121633482008982,20,1.3328635865025356,0.6,0.2177363079258054,2263.542308355098,-3022.287477026589,14.7
0.5,1.5,1.5,1.5,3.0,30.0,50.0,3,2,37,1.585058685107783,0.5945945945945946,0.18303901103633213,21,1.3274352843165984,0.6190476190476191,0.25582609823627367,3150.9294953529607,-4437.524128218563,14.285714285714286
0.5,1.5,1.0,2.0,3.5,40.0,50.0,3,2,34,1.863721254563439,0.6470588235294118,0.24969254294556323,20,1.326030711861943,0.6,0.24240527759726266,2564.579669533259,-3022.287477026589,14.6
1.0,2.0,1.5,2.5,4.0,30.0,70.0,3,2,44,1.4604604046039367,0.5227272727272727,0.1497636489054425,21,1.321686594687332,0.5238095238095238,0.1727316619903448,3767.5257351161567,-4142.183302702167,25.61904761904762
0.5,1.5,1.0,2.0,3.0,40.0,50.0,3,2,35,1.7910442899658288,0.6285714285714286,0.22381104933974086,20,1.3176582102626508,0.6,0.23971876007105947,2498.7210046790988,-3022.287477026589,14.2
1.0,2.0,0.5,2.0,3.0,30.0,70.0,3,2,50,1.3171189494713824,0.52,0.09504896301053165,25,1.3855856873735084,0.6,0.1466130226742072,3764.234962087378,-4014.7833027021666,22.6
0.5,1.5,0.5,2.0,3.5,40.0,50.0,3,2,35,2.0584058040882653,0.6,0.25155978546887237,20,1.3089287809989871,0.6,0.22027780369505803,2100.7806032710855,-3022.287477026589,14.6
