tf,src,at_mult,tp_r_mult,sl_buffer_atr,train_n,train_pf,train_exp,test_n,test_pf,test_exp,piv_atr_factor,piv_period,diy_swing_length,diy_box_width
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.5,0.3,334,1.1933042386409354,0.1267310114495367,145,0.7055097984581756,-0.24192586658620982,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,3.0,0.05,411,1.0290168276701985,0.012069808018303324,186,0.7735308494755485,-0.18510118199903952,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,3.0,0.1,391,1.1241251909454557,0.06409320326040595,181,0.818887613638338,-0.13217209097953606,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,3.0,0.2,350,1.1952854013106367,0.14455807053004324,153,0.7244603732543482,-0.23420117956717723,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,3.0,0.3,308,1.174570082411907,0.116293852498244,138,0.6579906290813121,-0.2805643240008605,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,0.5,0.05,693,0.4604401177532531,-0.2495637682150804,351,0.4052706251398976,-0.2880199216471372,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,0.5,0.1,669,0.5397967820792395,-0.1971464008745161,335,0.473054612219529,-0.234963954457092,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,0.5,0.2,609,0.6397949366499286,-0.13072936829737755,286,0.6794235786179741,-0.11334650048674275,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,0.5,0.3,554,0.7515703228577952,-0.07528991707526983,260,0.7045945941615813,-0.10851942881875554,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.0,0.05,551,0.6641182323217812,-0.19184839296014053,269,0.5958462065625456,-0.2401941656638219,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.0,0.1,517,0.7474132700169793,-0.14741124412195514,249,0.6418457470237533,-0.2136515395279032,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.0,0.2,462,0.8216441490197584,-0.08200225273533755,216,0.7285074677781982,-0.14942015158882513,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.0,0.3,411,0.8724056643780158,-0.05243884955637948,198,0.7173242676218426,-0.15118791216880795,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.5,0.05,499,0.7374845651635218,-0.18054657879573976,244,0.6104690941376951,-0.28118048787916194,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.5,0.1,469,0.8202678951024615,-0.13277263033208356,223,0.6241510728365207,-0.2737197452242866,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.5,0.2,411,0.8821739739353025,-0.057826476728926685,187,0.6295736227404287,-0.26204567591665084,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.5,1.5,0.3,375,0.8719129194972017,-0.05654427628454602,176,0.6509064354526922,-0.24145634385726125,,,,
